"id","inqno","fdate","remark","ndate","datetime","user_id"
"727","1469","2021-06-28","Budgetary offer, they will let us know about tender opening.","2021-07-28","2021-06-28 00:00:00.000000","3044"
"728","1471","2021-01-11","offer submitted","2021-03-12","2021-01-11 00:00:00.000000","3054"
"729","1472","2020-12-17","Bidding Stage. Tender shall open in Jan.21.","2021-01-11","2020-12-17 00:00:00.000000","3011"
"730","1473","2021-06-09","Budgetary offer, they will let us know about tender opening.","2021-07-14","2021-06-09 00:00:00.000000","3044"
"731","1474","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-30","2021-07-21 00:00:00.000000","3044"
"732","1477","2020-12-23","Commercial offer submitted, they will inform us at time of finalization, under follow-up","2021-01-02","2020-12-23 00:00:00.000000","3048"
"733","1478","2020-12-23","Commercial offer submitted, they will inform us at time of finalization, under follow-up","2021-01-02","2020-12-23 00:00:00.000000","3048"
"734","1483","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-09","2021-07-21 00:00:00.000000","3044"
"735","1488","2020-12-24","Terder enquiry, shall take 60 days to get result.","2021-02-07","2020-12-24 00:00:00.000000","3033"
"736","1492","2021-04-22","Budgetary offer, they will let us know about tender opening.","2021-05-02","2021-04-22 00:00:00.000000","3053"
"737","1497","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-04","2021-07-21 00:00:00.000000","3044"
"738","1498","2021-02-19","Requirements are cancelled. Thus Not quoted.","0000-00-00","2021-02-19 00:00:00.000000","3011"
"739","1499","2020-12-24","Terder enquiry, shall take 60 days to get result.","2021-02-07","2020-12-24 00:00:00.000000","3033"
"740","1500","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-04","2021-07-21 00:00:00.000000","3044"
"741","1501","2021-01-04","Commercial Offer Submitted","2021-01-14","2021-01-04 00:00:00.000000","3048"
"742","1503","2021-01-08","Tender stage enquiry will take time. ","2021-04-08","2021-01-08 00:00:00.000000","3033"
"743","1506","2020-12-23","Commercial offer submitted, they will inform us at time of finalization, under follow-up","2021-01-02","2020-12-23 00:00:00.000000","3048"
"744","1512","2020-12-23","Commercial offer submitted, under follow up","2021-01-07","2020-12-23 00:00:00.000000","3048"
"745","1515","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-04","2021-07-21 00:00:00.000000","3044"
"746","1517","2020-12-23","Offer submitted and won the job after negotiation","0000-00-00","2020-12-23 00:00:00.000000","3048"
"747","1521","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-30","2021-07-21 00:00:00.000000","3044"
"748","1525","2021-04-22","Budgetroy offer, they will let us know about tender opening.","2021-05-22","2021-04-22 00:00:00.000000","3044"
"749","1528","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-25","2021-07-21 00:00:00.000000","3044"
"750","1529","2021-01-02","We have submitted our rates. They gave us their target rates that we are unable to match.","2021-01-17","2021-01-02 00:00:00.000000","3044"
"751","1532","2021-06-28","Budgetary offer, they will let us know about tender opening.","2021-07-28","2021-06-28 00:00:00.000000","3044"
"752","1535","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-19","2021-07-21 00:00:00.000000","3044"
"753","1536","2021-01-04","Budgetory Offer Submitted / Will take some time / Under follow up","2021-02-03","2021-01-04 00:00:00.000000","3048"
"754","1538","2021-01-07","Offer submitted will close wihtin 2 weeks.","2021-01-22","2021-01-07 00:00:00.000000","3033"
"755","1540","2021-02-10","Commercial Offer submitted / Budgetory","2021-03-02","2021-02-10 00:00:00.000000","3048"
"756","1543","2021-02-10","This is additional quantity, due to small cut length our prices were higher side.","2021-02-25","2021-02-10 00:00:00.000000","3044"
"757","1546","2021-01-28","Additional Very small qty. ","2021-02-27","2021-01-28 00:00:00.000000","3011"
"758","1547","2021-01-28","Firm Requirements for Nayara Pali Project & the same purchase enquiry has received from Endress which is under follow-up by Parth Mehta","2021-02-12","2021-01-28 00:00:00.000000","3011"
"759","1548","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-04","2021-07-21 00:00:00.000000","3044"
"760","1550","2021-03-15","Under follow up . ","2021-03-22","2021-03-15 00:00:00.000000","3053"
"761","1557","2020-12-30","Budgetory. EPR cables","2021-01-29","2020-12-30 00:00:00.000000","3001"
"762","1558","2021-02-19","Additional qty. Not yet finalize. ","2021-03-21","2021-02-19 00:00:00.000000","3011"
"763","1569","2021-01-11","Offer submitted","2021-03-12","2021-01-11 00:00:00.000000","3044"
"764","1570","0000-00-00","offer submitted, tender enquiry","0000-00-00","0000-00-00 00:00:00.000000","3050"
"765","1571","0000-00-00","Offer submitted, we are not in the recommended vendor list of IOCL for the project.","0000-00-00","0000-00-00 00:00:00.000000","3053"
"766","1583","2021-01-08","Firm & IEEMA basis rates have been offered.      ","2021-01-23","2021-01-08 00:00:00.000000","3033"
"767","1584","2021-01-08","We have submitted offer will take 7 days. ","2021-01-15","2021-01-08 00:00:00.000000","3033"
"768","1590","2021-01-04","Commercial offer submitted / under Follow-up","2021-01-14","2021-01-04 00:00:00.000000","3048"
"769","1595","2021-01-28","Firm Requirements. It is under technica evaluation.","2021-02-27","2021-01-28 00:00:00.000000","3011"
"770","1596","2021-01-08","They will provide close within 15 days. ","2021-01-23","2021-01-08 00:00:00.000000","3033"
"771","1597","2021-01-11","offer submitted, tender enquiry","2021-02-10","2021-01-11 00:00:00.000000","3054"
"772","1602","2021-02-15","Offer has been submitted and revised 5 times. We have provided our most competitive rates and they are insisting on further discount. Cords is our competitor in this.","2021-03-02","2021-02-15 00:00:00.000000","3044"
"773","1605","2021-01-11","Offer submitted, we are not in the recommended vendor list of IOCL for the project.","2021-01-16","2021-01-11 00:00:00.000000","3054"
"774","1606","2021-01-04","Commercial offer submitted , Under Follw up","2021-01-14","2021-01-04 00:00:00.000000","3033"
"775","1608","2021-06-28","offer is in technical evaluation, we are getting no response from their end for technical issues, mail reminders are send daily, calls also they are not picking ","2021-07-28","2021-06-28 00:00:00.000000","3044"
"776","1611","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-04","2021-07-21 00:00:00.000000","3044"
"777","1616","2021-01-04","Commercial Offer Submitted , Under Follow-up","2021-01-19","2021-01-04 00:00:00.000000","3048"
"778","1618","2021-02-19","Budgetory Offer Submitted / Will take some time / Under follow up","2021-03-21","2021-02-19 00:00:00.000000","3011"
"779","1622","2021-02-15","We had submitted the offer and also participated in the auction. We were not L1.","2021-03-17","2021-02-15 00:00:00.000000","3053"
"780","1624","2021-01-08","We have submitted rates they are palling to split for urgent delivery schedule. ","2021-01-15","2021-01-08 00:00:00.000000","3033"
"781","1625","2021-02-19","Not quoted as no clarity from customer.","2021-03-01","2021-02-19 00:00:00.000000","3011"
"782","1628","0000-00-00","Budgetroy offer, they will let us know about tender opening.","0000-00-00","0000-00-00 00:00:00.000000","3044"
"783","1630","2021-01-07","Commercial offer submitted , under follow up","2021-01-22","2021-01-07 00:00:00.000000","3048"
"784","1631","2021-02-02","Commercial offer submitted / Budgetory enquiry will take time","2021-02-27","2021-02-02 00:00:00.000000","3048"
"785","1634","2021-01-28","Firm Requirements. Received the revised qty. RA shall conduct.","2021-02-12","2021-01-28 00:00:00.000000","3011"
"786","1636","2021-04-12","order loss due to rate ","0000-00-00","2021-04-12 00:00:00.000000","3007"
"787","1637","2021-01-07","Budgetory Offer Submitted / Will take some time / Under follow up","2021-02-01","2021-01-07 00:00:00.000000","3048"
"788","1639","2021-05-26","They will start procurement in June month.","2021-05-31","2021-05-26 00:00:00.000000","3044"
"789","1643","2021-03-11","Firm Requirements. Lost it on high rates. Finally closed at 6.50Lac (Basic)","2021-04-10","2021-03-11 00:00:00.000000","3011"
"790","1645","2021-01-21","We have received purchase order.","2021-02-20","2021-01-21 00:00:00.000000","3044"
"791","1646","2021-02-10","This is additonal requirement,they have closed with Avocab.","2021-02-25","2021-02-10 00:00:00.000000","3044"
"792","1647","2021-03-17","Offer and GTP is submitted and they are under follow up.","2021-04-16","2021-03-17 00:00:00.000000","3053"
"793","1649","2021-06-01","Project on Hold","2021-07-01","2021-06-01 00:00:00.000000","3001"
"794","1651","2021-03-11","e-Auction was conducted by TATA. (Rank-3)","2021-03-26","2021-03-11 00:00:00.000000","3011"
"795","1660","2021-01-29","Will talke time. ","2021-02-28","2021-01-29 00:00:00.000000","3033"
"796","1662","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-25","2021-07-21 00:00:00.000000","3044"
"797","1663","2021-02-12","talked to Mr. Anil shukla several times, as per him he was out of town and there was network issue, PO is expected","2021-03-14","2021-02-12 00:00:00.000000","3048"
"798","1664","2021-01-18","Commercial offer submitted / Under finalization","2021-02-07","2021-01-18 00:00:00.000000","3048"
"799","1666","2021-01-18","Commercial offer submitted / Revised offer submitted as per target value / Under followup","2021-02-02","2021-01-18 00:00:00.000000","3048"
"800","1667","2021-01-30","Commercial offer plus technical data sheet submitted / Under follow up","2021-02-14","2021-01-30 00:00:00.000000","3048"
"801","1670","2021-01-16","Commercial offer submitted / under follow up","2021-02-10","2021-01-16 00:00:00.000000","3048"
"802","1674","2021-01-29","offer is in technical evaluation, we are getting no response from their end for technical issues, mail reminders are send daily, calls also they are not picking","2021-02-28","2021-01-29 00:00:00.000000","3054"
"803","1676","2021-01-16","Commercial offer submitted","2021-01-26","2021-01-16 00:00:00.000000","3048"
"804","1677","2021-02-10","The  rates have been submitted to them we have provided very less rates. They prefer cords only. ","2021-02-20","2021-02-10 00:00:00.000000","3044"
"805","1678","2021-02-10","We have submiited offer & also reverse auction was supposed to held on 4th Feb.  It  got cancelled too. ","2021-02-17","2021-02-10 00:00:00.000000","3044"
"806","1687","2021-06-28","Budgetary offer, they will let us know about tender opening.","2021-07-28","2021-06-28 00:00:00.000000","3044"
"807","1688","2021-01-28","Under technical evaluation. ","2021-02-12","2021-01-28 00:00:00.000000","3033"
"808","1697","2021-03-12","Budgetory Offer. Tender shall open in next week.","2021-03-27","2021-03-12 00:00:00.000000","3011"
"809","1699","2021-03-12","Tender Systems. Very small qty.","2021-03-27","2021-03-12 00:00:00.000000","3039"
"810","1700","2021-03-12","PO Received.","2021-03-22","2021-03-12 00:00:00.000000","3011"
"811","1701","2021-02-10","Under follow up. ","2021-02-25","2021-02-10 00:00:00.000000","3044"
"812","1704","2021-02-10","We have submitted offer & gtp , it is under evaluation. ","2021-02-25","2021-02-10 00:00:00.000000","3053"
"813","1706","2021-02-06","Firm Requirements. It is under final negotiations.","2021-02-21","2021-02-06 00:00:00.000000","3011"
"814","1708","2021-02-25","Offer had been submitted and it is for a bidding purpose. It is not disclosed yet.","2021-04-11","2021-02-25 00:00:00.000000","3053"
"815","1709","2021-03-15","Had a discussion with purchase executive shall take time. ","2021-04-09","2021-03-15 00:00:00.000000","3053"
"816","1716","2021-01-30","Commercial Offer Submitted / WE are in touch/ they will update us the status","2021-02-14","2021-01-30 00:00:00.000000","3048"
"817","1718","2021-03-20","We have submitted offer no resposne from client end , under follow up. Remider mails sent.","2021-04-04","2021-03-20 00:00:00.000000","3044"
"818","1720","2021-01-29","Offer submitted, under follow up","2021-02-13","2021-01-29 00:00:00.000000","3048"
"819","1721","2021-06-28","Budgetary offer, they will let us know about tender opening.","2021-08-02","2021-06-28 00:00:00.000000","3044"
"820","1722","2021-06-28","Budgetary offer, they will let us know about tender opening.","2021-08-27","2021-06-28 00:00:00.000000","3044"
"821","1723","2021-02-25","Offer has been submitted and they decided not to buy from us as they found our prices very high and now we have received the same inquiry from direct NTPC.","2021-04-06","2021-02-25 00:00:00.000000","3053"
"822","1724","2021-05-26","Budgetary offer, they will let us know about tender opening.","2021-07-25","2021-05-26 00:00:00.000000","3044"
"823","1725","2021-06-28","offer is in technical evaluation, we are getting no response from their end for technical issues, mail reminders are send daily, calls also they are not picking","2021-07-28","2021-06-28 00:00:00.000000","3044"
"824","1726","2021-01-29","offer is in technical evaluation, we are getting no response from their end for technical issues, mail reminders are send daily, calls also they are not picking","2021-02-28","2021-01-29 00:00:00.000000","3044"
"825","1727","2021-03-31","Commercial offer submitted / Budgetory enquiry will take time","2021-04-20","2021-03-31 00:00:00.000000","3048"
"826","1728","2021-02-25","Offer had been submitted and it is for a bidding purpose. It is not disclosed yet.","2021-04-11","2021-02-25 00:00:00.000000","3053"
"827","1729","2021-07-21","Our rates were higher side.","2021-08-15","2021-07-21 00:00:00.000000","3044"
"828","1734","2021-01-29","Commercial offer submitted, they will inform us at time of finalization, under follow-up","2021-02-08","2021-01-29 00:00:00.000000","3048"
"829","1739","2021-01-29","Budgetory Offer Submitted / Will take some time / Under follow up","2021-03-15","2021-01-29 00:00:00.000000","3048"
"830","1741","2021-02-10","We have submitted offer & data sheet, It is reviewed by them will let us know shortly. ","2021-03-12","2021-02-10 00:00:00.000000","3053"
"831","1742","2021-02-02","Commercial Offer submitted / Under Follow up","2021-02-17","2021-02-02 00:00:00.000000","3048"
"832","1743","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-20","2021-07-21 00:00:00.000000","3044"
"833","1745","2021-01-29","Commercial offer submitted. Will take some time. Under follow up","2021-02-18","2021-01-29 00:00:00.000000","3048"
"834","1755","2021-02-10","We have sent offer , will take time. ","2021-02-25","2021-02-10 00:00:00.000000","3053"
"835","1758","2021-01-29","Commercial offer submitted. Will take some time. Under follow up","2021-03-10","2021-01-29 00:00:00.000000","3048"
"836","1760","2021-02-09","offer was sent","2021-03-11","2021-02-09 00:00:00.000000","3048"
"837","1761","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-20","2021-07-21 00:00:00.000000","3044"
"838","1763","2021-01-29","Offer submitted. Under follow up","2021-03-05","2021-01-29 00:00:00.000000","3048"
"839","1764","2021-01-29","Commercial offer submitted, yet to finalized","2021-02-08","2021-01-29 00:00:00.000000","3048"
"840","1765","2021-01-29","Offer submitted. Will take 90 to 100 days","2021-03-05","2021-01-29 00:00:00.000000","3048"
"841","1774","2021-01-30","Commercial Offer submitted / Under Follow up","2021-02-14","2021-01-30 00:00:00.000000","3048"
"842","1777","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-20","2021-07-21 00:00:00.000000","3044"
"843","1780","2021-02-02","Commercial Offer submitted.","2021-02-17","2021-02-02 00:00:00.000000","3048"
"844","1781","2021-02-10","Discussed with him shall take time. ","0000-00-00","2021-02-10 00:00:00.000000","3033"
"845","1783","2021-01-29","Commercial offer submitted. It will take time to finalization","2021-02-28","2021-01-29 00:00:00.000000","3048"
"846","1784","2021-01-29","As per my discussion with Mr. Asadullah khan he placed the order to some other vendor just after I send him the offer, as per him he did not considered us as on the first go he wanted best prices without any negotiation or further conversations, I have re","2021-02-28","2021-01-29 00:00:00.000000","3054"
"847","1785","2021-03-01","We have submitted offer & BOQ revised. ","2021-03-11","2021-03-01 00:00:00.000000","3044"
"848","1787","2021-01-29","As per my discussion with Mr. Asadullah khan he placed the order to some other vendor just after I send him the offer, as per him he did not considered us as on the first go he wanted best prices without any negotiation or further conversations, I have re","2021-02-28","2021-01-29 00:00:00.000000","3054"
"849","1789","2021-01-30","Offer submitted, finalization in 10 days / under follow up","2021-02-14","2021-01-30 00:00:00.000000","3048"
"850","1793","2021-01-29","offer is in technical evaluation, we are getting no response from their end for technical issues, mail reminders are send daily, calls also they are not picking","2021-02-28","2021-01-29 00:00:00.000000","3044"
"851","1794","2021-02-10","Will get order. ","2021-02-15","2021-02-10 00:00:00.000000","3033"
"852","1795","2021-01-29","Commercial offer submuitted, under follow up.","2021-02-18","2021-01-29 00:00:00.000000","3048"
"853","1796","2021-01-29","Technical data sheet submitted, cables requirement will be floated.","2021-02-13","2021-01-29 00:00:00.000000","3048"
"854","1802","2021-06-09","Budgetary offer, they will let us know about tender opening.","2021-07-24","2021-06-09 00:00:00.000000","3044"
"855","1804","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-30","2021-07-21 00:00:00.000000","3044"
"856","1805","2021-03-12","Firm Requirements. Due to present raw-materials prices. Not yet finalize.","2021-05-11","2021-03-12 00:00:00.000000","3011"
"857","1806","2021-01-29","Commercial offer send . Under follow up.","2021-02-18","2021-01-29 00:00:00.000000","3048"
"858","1807","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-30","2021-07-21 00:00:00.000000","3044"
"859","1809","2021-05-03","We have received revised quantity for the same. ","2021-05-18","2021-05-03 00:00:00.000000","3044"
"860","1810","2021-02-10","Will get order. ","2021-02-15","2021-02-10 00:00:00.000000","3033"
"861","1811","2021-03-31","Have submitted offer, under follow up. ","2021-05-15","2021-03-31 00:00:00.000000","3053"
"862","1813","2021-03-09","Firm requirement , yet to finalize. They will intimate us beore close this package.","2021-03-24","2021-03-09 00:00:00.000000","3044"
"863","1815","2021-02-09","offer submitted","2021-03-11","2021-02-09 00:00:00.000000","3033"
"864","1817","2021-02-10","They will intimate us at the time of finalise.","2021-03-07","2021-02-10 00:00:00.000000","3044"
"865","1818","2021-02-10","Under follow up, shall take time & will be offloaded to contractor. ","2021-02-17","2021-02-10 00:00:00.000000","3011"
"866","1819","2021-01-30","Commercial offer submitted, under follow up","2021-02-19","2021-01-30 00:00:00.000000","3048"
"867","1821","2021-02-10","Under technical evaluation by client , shall take time. ","2021-02-25","2021-02-10 00:00:00.000000","3011"
"868","1822","2021-02-17","We have submitted techno comercial offer we are waiting for the technical approval.It will take one month.","2021-03-14","2021-02-17 00:00:00.000000","3044"
"869","1823","2021-02-23","They have quoted to HRRL. Will take time. ","2021-04-09","2021-02-23 00:00:00.000000","3033"
"870","1824","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-19","2021-07-21 00:00:00.000000","3044"
"871","1829","2021-06-01","Project on Hold","2021-07-01","2021-06-01 00:00:00.000000","3001"
"872","1831","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-19","2021-07-21 00:00:00.000000","3044"
"873","1832","2021-02-10","Firm requirement , yet to finalize. ","2021-03-02","2021-02-10 00:00:00.000000","3048"
"874","1833","2021-02-10","Commercial offer submitted / under follow up","2021-02-25","2021-02-10 00:00:00.000000","3048"
"875","1834","2021-02-10","Offer submitted, under follow up. ","2021-03-12","2021-02-10 00:00:00.000000","3053"
"876","1835","2021-02-25","Offer is submitted and we have contacted them, they shall let us know during finalisation","2021-04-01","2021-02-25 00:00:00.000000","3053"
"877","1836","2021-03-05","Under follow up. ","2021-03-20","2021-03-05 00:00:00.000000","3033"
"878","1837","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-20","2021-07-21 00:00:00.000000","3044"
"879","1838","2021-03-05","Under follow up. ","2021-03-20","2021-03-05 00:00:00.000000","3033"
"880","1840","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-19","2021-07-21 00:00:00.000000","3044"
"881","1841","2021-02-10","Offer submitted","2021-03-07","2021-02-10 00:00:00.000000","3048"
"882","1842","2021-02-10","Offer submitted Under followup","2021-02-25","2021-02-10 00:00:00.000000","3011"
"883","1847","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-20","2021-07-21 00:00:00.000000","3044"
"884","1848","2021-02-10","Tender stage enquiry will take time. ","2021-03-27","2021-02-10 00:00:00.000000","3053"
"885","1849","2021-02-25","Offer has been submitted and we have contacted them. It is a budgetary offer for Powerica and they have submitted the rates.","2021-04-11","2021-02-25 00:00:00.000000","3053"
"886","1857","2021-03-31","They have some technical issue & trying to get confirmation from HPPTCL. Not yet finalize. ","2021-04-15","2021-03-31 00:00:00.000000","3007"
"887","1858","2021-02-10","Offer submitted / Under follow up","2021-03-07","2021-02-10 00:00:00.000000","3048"
"888","1859","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-09-04","2021-07-21 00:00:00.000000","3044"
"889","1868","2021-02-10","Commercial offer submitted / under negotiation","2021-02-20","2021-02-10 00:00:00.000000","3048"
"890","1871","2021-03-02","Commercial offer submitted / Under Follow up","2021-03-22","2021-03-02 00:00:00.000000","3048"
"891","1874","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-15","2021-07-21 00:00:00.000000","3044"
"892","1878","2021-02-25","Offer is submitted and they are doing some estimation. They shall let us know during finalisation","2021-04-06","2021-02-25 00:00:00.000000","3053"
"893","1881","2021-02-10","Commercial offer submitted / Under Follow up","2021-03-07","2021-02-10 00:00:00.000000","3048"
"894","1882","2021-04-22","Budgetroy offer, they will let us know about tender opening.","2021-06-21","2021-04-22 00:00:00.000000","3044"
"895","1884","2021-02-11","It is a tender enquiry for Powerica ltd and we have submitted the rates.We have received same inquiry for Powerica (End user). It is under follow up.","2021-03-23","2021-02-11 00:00:00.000000","3053"
"896","1886","2021-02-09","offer submitted 09/02/21","2021-04-10","2021-02-09 00:00:00.000000","3044"
"897","1888","2021-03-06","Firm Requirements. Not yet finalize.","2021-03-21","2021-03-06 00:00:00.000000","3011"
"898","1890","2021-02-11","Offer has been submitted and we shall get this order. It is under follow up.","2021-02-26","2021-02-11 00:00:00.000000","3053"
"899","1891","2021-02-23","Offer has been submitted and it is yet to finalise. Due to high copper rates we have advised not to finalise up till next week.","2021-03-15","2021-02-23 00:00:00.000000","3053"
"900","1903","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-20","2021-07-21 00:00:00.000000","3044"
"901","1904","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-15","2021-07-21 00:00:00.000000","3044"
"902","1905","2021-03-31","We have not quoted all BOQ itmes & hence we have very less chance to get informed during closing stage. ","2021-04-10","2021-03-31 00:00:00.000000","3044"
"903","1906","2021-02-22","We have submitted our most competitve rates for the same.","2021-03-09","2021-02-22 00:00:00.000000","3044"
"904","1908","2021-02-10","Budgetory offer submitted","2021-03-07","2021-02-10 00:00:00.000000","3048"
"905","1909","2021-02-23","Offer has been submitted and auction was held for this too, in which we were not invited. Our prices were good and they had contacted us for discount in the offer. I had texted Mr. Anish to discuss with Hardik but they have not yet discussed. ","2021-03-10","2021-02-23 00:00:00.000000","3053"
"906","1911","2021-02-10","Commercial Offer submitted/ Budgetory Enquiry","2021-03-12","2021-02-10 00:00:00.000000","3048"
"907","1912","2021-03-09","We have submitted our most competitve rates for the same.","2021-03-19","2021-03-09 00:00:00.000000","3044"
"908","1915","2021-02-10","ommercial Offer submitted / Under follow up","2021-02-25","2021-02-10 00:00:00.000000","3048"
"909","1920","2021-02-17","Our rates were higher side. Polycab got this order.","2021-03-04","2021-02-17 00:00:00.000000","3044"
"910","1921","2021-02-17","Due to small lengths our rates on higher side.","2021-03-04","2021-02-17 00:00:00.000000","3044"
"911","1922","2021-03-02","Final offer submitted / they will give intimation at the time og finalization","2021-03-17","2021-03-02 00:00:00.000000","3048"
"912","1926","2021-04-20","Commercial offer submitted by rashika in month of Feb, under follow up ","2021-05-20","2021-04-20 00:00:00.000000","3048"
"913","1927","2021-02-23","We have submitted the offer with best rates it is yet to close and we are already approved in this project, we shall get this order.","2021-03-15","2021-02-23 00:00:00.000000","3053"
"914","1928","2021-02-17","We have accepted payment terms as 15 days PDC.","2021-03-04","2021-02-17 00:00:00.000000","3044"
"915","1930","2021-03-09","WE have submiited the offer and they shall close it within 2-3 months. It is under follow up.","2021-04-08","2021-03-09 00:00:00.000000","3053"
"916","1931","2021-03-09","Offer has been submitted and they has also held an auction for the same. We were L2 and this inquiry is for their final bid submission to Vedanta.","2021-04-23","2021-03-09 00:00:00.000000","3053"
"917","1932","2021-02-22","Commercial offer submitted/ We have to submit revised / they will update us at the time of finalization","2021-03-09","2021-02-22 00:00:00.000000","3048"
"918","1936","2021-02-22","Commercial offer Submitted. Under follow-up","2021-03-04","2021-02-22 00:00:00.000000","3048"
"919","1937","2021-02-22","Commercial offer Submitted. Under follow-up","2021-03-04","2021-02-22 00:00:00.000000","3048"
"920","1938","2021-02-22","Commercial offer Submitted. Under follow-up","2021-03-04","2021-02-22 00:00:00.000000","3048"
"921","1945","2021-03-05","Under follow up. ","2021-03-15","2021-03-05 00:00:00.000000","3033"
"922","1946","2021-03-09","Offer has been submitted and it is for the Powerica 50 MW Wind farm project.","2021-04-13","2021-03-09 00:00:00.000000","3053"
"923","1950","2021-02-23","Tender stage enquiry will take time. ","2021-04-14","2021-02-23 00:00:00.000000","3033"
"924","1953","2021-02-23","Tender stage enquiry will take time. ","2021-04-14","2021-02-23 00:00:00.000000","3033"
"925","1956","2021-03-09","It is a budgetary offer for JUSNL Substation project is Barhait and we have submitted the offer, type test reports, GTP as well. ","2021-04-13","2021-03-09 00:00:00.000000","3053"
"926","1957","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-15","2021-07-21 00:00:00.000000","3044"
"927","1958","2021-03-09","We have submitted our rates and also provided the CIMEC Test Reports.  It is yet to finalise and they are under follow up.","2021-04-08","2021-03-09 00:00:00.000000","3053"
"928","1961","2021-03-01","It is under follow up. Technical datasheet has been submitted for the same.","2021-03-16","2021-03-01 00:00:00.000000","3044"
"929","1963","2021-03-01","It is under follow up. Technical datasheet has been submitted for the same.","2021-04-05","2021-03-01 00:00:00.000000","3044"
"930","1972","2021-03-01","We have submited technical data sheet & it is under follow up. ","2021-04-05","2021-03-01 00:00:00.000000","3044"
"931","1973","2021-03-15","It is under technical evluation, yet to finalized due to copper rates. ","2021-03-30","2021-03-15 00:00:00.000000","3011"
"932","1975","2021-04-09","Firm Requirements. It is under technical review.","2021-04-24","2021-04-09 00:00:00.000000","3011"
"933","1976","2021-03-02","Budgetory offer submitted / Under follow up","2021-03-27","2021-03-02 00:00:00.000000","3048"
"934","1981","2021-07-21","Budgetary offer, they will let us know about tender opening.","2021-08-25","2021-07-21 00:00:00.000000","3044"
"935","1984","2021-03-01","We have submitted our most competitve rates for the same.","2021-03-26","2021-03-01 00:00:00.000000","3044"
"936","1985","2021-03-01","We have received purchase order.","2021-03-31","2021-03-01 00:00:00.000000","3044"
"937","1987","2021-05-15","revised BOQ will be shared ,  after that we have to submit quotation.","2021-06-19","2021-05-15 00:00:00.000000","3048"
"938","1989","2021-03-05","Kept on  hold due to high copper rates. ","2021-04-04","2021-03-05 00:00:00.000000","3033"
"939","1990","2021-03-09","The offer has been submitted howver they do not provide any contact details so we are following up through emails.","2021-04-13","2021-03-09 00:00:00.000000","3053"
"940","1991","2021-03-09","Offer has been submitted and it is for a budgetary project.","2021-04-08","2021-03-09 00:00:00.000000","3053"
"941","1993","2021-07-21","They will start electrical items procurement in August.","2021-08-15","2021-07-21 00:00:00.000000","3044"
"942","1994","2021-03-09","It is a budgetary offer for General Electric.","2021-04-13","2021-03-09 00:00:00.000000","3053"
"943","1998","2021-03-05","They have quoted to end user , will take time. ","2021-04-04","2021-03-05 00:00:00.000000","3033"
"944","2003","2021-03-10","This is for estimation purpose only.","2021-03-25","2021-03-10 00:00:00.000000","3044"
"945","2005","2021-04-09","Tendering Stage. It will take time.","2021-05-09","2021-04-09 00:00:00.000000","3011"
"946","2006","2021-03-02","Offer submitted.","0000-00-00","2021-03-02 00:00:00.000000","3048"
"947","2007","2021-03-10","They will start procurement in April month.","2021-04-04","2021-03-10 00:00:00.000000","3044"
"948","2009","2021-03-01","Adani extended approval of previous suppliers for the all the items.Avocab got this order.","2021-03-26","2021-03-01 00:00:00.000000","3044"
"949","2012","2021-03-02","Commercial offer submitted / Under Follow up","2021-04-01","2021-03-02 00:00:00.000000","3048"
"950","2013","2021-02-22","Commercial offer submitted , as discussed we are on higher side, they will update us at time of negotiation","2021-03-19","2021-02-22 00:00:00.000000","3048"
"951","2014","2021-04-22","Budgetary offer, they will let us know about tender opening.","2021-06-01","2021-04-22 00:00:00.000000","3033"
"952","2021","2021-03-31","Offer has been submitted and it is under follow up.","2021-04-10","2021-03-31 00:00:00.000000","3053"
"953","2027","2021-04-09","Tendering Stage. It will take time.","2021-05-09","2021-04-09 00:00:00.000000","3011"
